 method
 GMRES
 N=        5541
 iteration,||err||
     1, 3.917E-01
     2, 2.746E-01
     3, 2.745E-01
     4, 2.571E-01
     5, 2.471E-01
     6, 2.314E-01
     7, 2.282E-01
     8, 2.184E-01
     9, 2.149E-01
    10, 2.135E-01
    11, 1.886E-01
    12, 1.833E-01
    13, 1.604E-01
    14, 1.546E-01
    15, 1.429E-01
    16, 1.253E-01
    17, 1.119E-01
    18, 1.108E-01
    19, 1.004E-01
    20, 9.221E-02
    21, 8.496E-02
    22, 7.569E-02
    23, 6.821E-02
    24, 6.561E-02
    25, 6.437E-02
    26, 6.287E-02
    27, 6.086E-02
    28, 5.985E-02
    29, 5.960E-02
    30, 5.960E-02
    31, 5.959E-02
    32, 5.947E-02
    33, 5.945E-02
    34, 5.919E-02
    35, 5.775E-02
    36, 5.638E-02
    37, 5.589E-02
    38, 5.517E-02
    39, 5.213E-02
    40, 5.057E-02
    41, 5.019E-02
    42, 5.019E-02
    43, 5.019E-02
    44, 4.990E-02
    45, 4.963E-02
    46, 4.960E-02
    47, 4.950E-02
    48, 4.950E-02
    49, 4.936E-02
    50, 4.909E-02
    51, 4.869E-02
    52, 4.853E-02
    53, 4.816E-02
    54, 4.685E-02
    55, 4.328E-02
    56, 3.825E-02
    57, 3.448E-02
    58, 3.132E-02
    59, 2.932E-02
    60, 2.883E-02
    61, 2.880E-02
    62, 2.879E-02
    63, 2.869E-02
    64, 2.860E-02
    65, 2.846E-02
    66, 2.827E-02
    67, 2.811E-02
    68, 2.804E-02
    69, 2.799E-02
    70, 2.796E-02
    71, 2.787E-02
    72, 2.787E-02
    73, 2.786E-02
    74, 2.784E-02
    75, 2.784E-02
    76, 2.783E-02
    77, 2.783E-02
    78, 2.782E-02
    79, 2.782E-02
    80, 2.782E-02
    81, 2.782E-02
    82, 2.781E-02
    83, 2.781E-02
    84, 2.781E-02
    85, 2.778E-02
    86, 2.777E-02
    87, 2.776E-02
    88, 2.773E-02
    89, 2.773E-02
    90, 2.771E-02
    91, 2.771E-02
    92, 2.769E-02
    93, 2.767E-02
    94, 2.761E-02
    95, 2.748E-02
    96, 2.725E-02
    97, 2.705E-02
    98, 2.672E-02
    99, 2.618E-02
   100, 2.586E-02
   101, 2.562E-02
   102, 2.547E-02
   103, 2.538E-02
   104, 2.536E-02
   105, 2.534E-02
   106, 2.533E-02
   107, 2.532E-02
   108, 2.532E-02
   109, 2.532E-02
   110, 2.531E-02
   111, 2.531E-02
   112, 2.531E-02
   113, 2.526E-02
   114, 2.520E-02
   115, 2.514E-02
   116, 2.506E-02
   117, 2.503E-02
   118, 2.500E-02
   119, 2.500E-02
   120, 2.499E-02
   121, 2.499E-02
   122, 2.499E-02
   123, 2.499E-02
   124, 2.499E-02
   125, 2.498E-02
   126, 2.498E-02
   127, 2.498E-02
   128, 2.496E-02
   129, 2.496E-02
   130, 2.496E-02
   131, 2.495E-02
   132, 2.493E-02
   133, 2.493E-02
   134, 2.492E-02
   135, 2.492E-02
   136, 2.490E-02
   137, 2.490E-02
   138, 2.490E-02
   139, 2.490E-02
   140, 2.488E-02
   141, 2.484E-02
   142, 2.480E-02
   143, 2.474E-02
   144, 2.467E-02
   145, 2.458E-02
   146, 2.440E-02
   147, 2.429E-02
   148, 2.414E-02
   149, 2.412E-02
   150, 2.405E-02
   151, 2.401E-02
   152, 2.399E-02
   153, 2.398E-02
   154, 2.396E-02
   155, 2.392E-02
   156, 2.391E-02
   157, 2.391E-02
   158, 2.391E-02
   159, 2.389E-02
   160, 2.389E-02
   161, 2.389E-02
   162, 2.388E-02
   163, 2.381E-02
   164, 2.381E-02
   165, 2.376E-02
   166, 2.369E-02
   167, 2.352E-02
   168, 2.346E-02
   169, 2.335E-02
   170, 2.329E-02
   171, 2.325E-02
   172, 2.321E-02
   173, 2.317E-02
   174, 2.307E-02
   175, 2.303E-02
   176, 2.284E-02
   177, 2.252E-02
   178, 2.207E-02
   179, 2.183E-02
   180, 2.151E-02
   181, 2.138E-02
   182, 2.130E-02
   183, 2.127E-02
   184, 2.125E-02
   185, 2.125E-02
   186, 2.124E-02
   187, 2.124E-02
   188, 2.122E-02
   189, 2.121E-02
   190, 2.119E-02
   191, 2.118E-02
   192, 2.113E-02
   193, 2.103E-02
   194, 2.102E-02
   195, 2.095E-02
   196, 2.094E-02
   197, 2.086E-02
   198, 2.069E-02
   199, 2.028E-02
   200, 1.984E-02
   201, 1.928E-02
   202, 1.893E-02
   203, 1.871E-02
   204, 1.865E-02
   205, 1.858E-02
   206, 1.858E-02
   207, 1.853E-02
   208, 1.850E-02
   209, 1.839E-02
   210, 1.815E-02
