 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 2.012E-01, 2.681E-02, 8.000E-01
     2, 2.943E-02, 5.516E-03, 8.000E-01
     3, 6.313E-03, 1.768E-03, 8.000E-01
     4, 3.955E-03, 5.170E-04, 8.000E-01
     5, 9.945E-04, 2.831E-04, 8.000E-01
     6, 1.430E-03, 1.195E-04, 8.000E-01
     7, 3.347E-04, 7.875E-05, 8.000E-01
     8, 4.746E-04, 3.616E-05, 8.000E-01
     9, 1.092E-04, 2.450E-05, 8.000E-01
    10, 1.515E-04, 1.176E-05, 8.000E-01
    11, 3.515E-05, 8.100E-06, 8.000E-01
    12, 4.979E-05, 4.015E-06, 8.000E-01
    13, 1.171E-05, 2.793E-06, 8.000E-01
    14, 1.701E-05, 1.411E-06, 8.000E-01
    15, 4.037E-06, 9.869E-07, 8.000E-01
    16, 5.967E-06, 5.034E-07, 8.000E-01
    17, 1.425E-06, 3.532E-07, 8.000E-01
    18, 2.125E-06, 1.810E-07, 8.000E-01
    19, 5.092E-07, 1.272E-07, 8.000E-01
    20, 7.629E-07, 6.533E-08, 8.000E-01
    21, 1.831E-07, 4.593E-08, 8.000E-01
    22, 2.750E-07, 2.362E-08, 8.000E-01
    23, 6.608E-08, 1.661E-08, 8.000E-01
    24, 9.933E-08, 8.547E-09, 8.000E-01
    25, 2.388E-08, 6.011E-09, 8.000E-01
    26, 3.592E-08, 3.093E-09, 8.000E-01
    27, 8.638E-09, 2.176E-09, 8.000E-01
    28, 1.299E-08, 1.120E-09, 8.000E-01
    29, 3.126E-09, 7.877E-10, 8.000E-01
    30, 4.703E-09, 4.055E-10, 8.000E-01
    31, 1.131E-09, 2.852E-10, 8.000E-01
    32, 1.702E-09, 1.468E-10, 8.000E-01
    33, 4.095E-10, 1.033E-10, 8.000E-01
    34, 6.161E-10, 5.315E-11, 8.000E-01
    35, 1.482E-10, 3.739E-11, 8.000E-01
    36, 2.231E-10, 1.924E-11, 8.000E-01
    37, 5.367E-11, 1.354E-11, 8.000E-01
    38, 8.090E-11, 6.968E-12, 8.000E-01
    39, 1.946E-11, 4.901E-12, 8.000E-01
    40, 2.934E-11, 2.523E-12, 8.000E-01
    41, 7.052E-12, 1.775E-12, 8.000E-01
    42, 1.043E-11, 9.135E-13, 8.000E-01
